time,fps,cpums,cms,gms,expectedp,loadedp,shaderp_comp,shaderp_grph, expectedc,shaderc,threadcount, sidelen,density,PERR,CERR
0,1314,0.000761035,0.000158592,6.4128e-05,0,161508,156924,161508,0,0,161508,65,0,0,0
1,1479,0.000676133,0.000159168,6.1824e-05,0,161508,156924,161508,0,0,161508,65,0,0,0
2,1377,0.000726216,0.000159264,6.0096e-05,0,161508,156924,161348,0,0,161508,65,0,0,0
3,1472,0.000679348,0.000158816,6.1472e-05,0,161508,156924,160996,0,0,161508,65,0,0,0
4,1399,0.000714796,0.00015872,6.0928e-05,0,161508,156924,161476,0,0,161508,65,0,0,0
5,1455,0.000687285,0.000158784,6.0576e-05,0,161508,156924,161412,0,0,161508,65,0,0,0
6,1426,0.000701262,0.00015872,6.1472e-05,0,161508,156924,161508,0,0,161508,65,0,0,0
7,1429,0.00069979,0.000159392,6.0768e-05,0,161508,156924,161476,0,0,161508,65,0,0,0
8,1454,0.000687758,0.000158656,6.0992e-05,0,161508,156924,161508,0,0,161508,65,0,0,0
9,1401,0.000713776,0.000159296,6.112e-05,0,161508,156924,161508,0,0,161508,65,0,0,0
